,1,6,0,2,3,5,7,8,9,10,11,13,12,4,14
24, Private, Tech-support,59,109015, HS-grad, Divorced, Unmarried, White, Female,0,0, United-States,40,9,0
25, Local-gov, Tech-support,56,216851, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,1
26, Private, Craft-repair,19,168294, HS-grad, Never-married, Own-child, White, Male,0,0, United-States,40,9,0
27, ?, ?,54,180211, Some-college, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0,0, South,60,10,1
28, Private, Exec-managerial,39,367260, HS-grad, Divorced, Not-in-family, White, Male,0,0, United-States,80,9,0
29, Private, Craft-repair,49,193366, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
30, Local-gov, Protective-serv,23,190709, Assoc-acdm, Never-married, Not-in-family, White, Male,0,0, United-States,52,12,0
31, Private, Sales,20,266015, Some-college, Never-married, Own-child, Black, Male,0,0, United-States,44,10,0
32, Private, Exec-managerial,45,386940, Bachelors, Divorced, Own-child, White, Male,0,1408, United-States,40,13,0
33, Federal-gov, Adm-clerical,30,59951, Some-college, Married-civ-spouse, Own-child, White, Male,0,0, United-States,40,10,0
34, State-gov, Other-service,22,311512, Some-college, Married-civ-spouse, Husband, Black, Male,0,0, United-States,15,10,0
35, Private, Machine-op-inspct,48,242406, 11th, Never-married, Unmarried, White, Male,0,0, Puerto-Rico,40,7,0
36, Private, Machine-op-inspct,21,197200, Some-college, Never-married, Own-child, White, Male,0,0, United-States,40,10,0
37, Private, Adm-clerical,19,544091, HS-grad, Married-AF-spouse, Wife, White, Female,0,0, United-States,25,9,0
38, Private, Sales,31,84154, Some-college, Married-civ-spouse, Husband, White, Male,0,0, ?,38,10,1
39, Self-emp-not-inc, Prof-specialty,48,265477, Assoc-acdm, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,12,0
40, Private, Machine-op-inspct,31,507875, 9th, Married-civ-spouse, Husband, White, Male,0,0, United-States,43,5,0
41, Self-emp-not-inc, Prof-specialty,53,88506, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,0
42, Private, Tech-support,24,172987, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,13,0
43, Private, Adm-clerical,49,94638, HS-grad, Separated, Unmarried, White, Female,0,0, United-States,40,9,0
44, Private, Handlers-cleaners,25,289980, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,35,9,0
45, Federal-gov, Prof-specialty,57,337895, Bachelors, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,13,1
46, Private, Machine-op-inspct,53,144361, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,38,9,0
47, Private, Exec-managerial,44,128354, Masters, Divorced, Unmarried, White, Female,0,0, United-States,40,14,0
48, State-gov, Craft-repair,41,101603, Assoc-voc, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,11,0
49, Private, Prof-specialty,29,271466, Assoc-voc, Never-married, Not-in-family, White, Male,0,0, United-States,43,11,0
50, Private, Exec-managerial,25,32275, Some-college, Married-civ-spouse, Wife, Other, Female,0,0, United-States,40,10,0
51, Private, Other-service,18,226956, HS-grad, Never-married, Own-child, White, Female,0,0, ?,30,9,0
52, Private, Prof-specialty,47,51835, Prof-school, Married-civ-spouse, Wife, White, Female,0,1902, Honduras,60,15,1
53, Federal-gov, Exec-managerial,50,251585, Bachelors, Divorced, Not-in-family, White, Male,0,0, United-States,55,13,1
54, Self-emp-inc, Exec-managerial,47,109832, HS-grad, Divorced, Not-in-family, White, Male,0,0, United-States,60,9,0
55, Private, Tech-support,43,237993, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,10,1
56, Private, Machine-op-inspct,46,216666, 5th-6th, Married-civ-spouse, Husband, White, Male,0,0, Mexico,40,3,0
57, Private, Other-service,35,56352, Assoc-voc, Married-civ-spouse, Husband, White, Male,0,0, Puerto-Rico,40,11,0
58, Private, Adm-clerical,41,147372, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,48,9,0
59, Private, Machine-op-inspct,30,188146, HS-grad, Married-civ-spouse, Husband, White, Male,5013,0, United-States,40,9,0
60, Private, Sales,30,59496, Bachelors, Married-civ-spouse, Husband, White, Male,2407,0, United-States,40,13,0
61, ?, ?,32,293936, 7th-8th, Married-spouse-absent, Not-in-family, White, Male,0,0, ?,40,4,0
62, Private, Transport-moving,48,149640, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
63, Private, Prof-specialty,42,116632, Doctorate, Married-civ-spouse, Husband, White, Male,0,0, United-States,45,16,1
64, Private, Tech-support,29,105598, Some-college, Divorced, Not-in-family, White, Male,0,0, United-States,58,10,0
65, Private, Craft-repair,36,155537, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
66, Private, Adm-clerical,28,183175, Some-college, Divorced, Not-in-family, White, Female,0,0, United-States,40,10,0
67, Private, Adm-clerical,53,169846, HS-grad, Married-civ-spouse, Wife, White, Female,0,0, United-States,40,9,1
68, Self-emp-inc, Exec-managerial,49,191681, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,10,1
69, ?, ?,25,200681, Some-college, Never-married, Own-child, White, Male,0,0, United-States,40,10,0
70, Private, Prof-specialty,19,101509, Some-college, Never-married, Own-child, White, Male,0,0, United-States,32,10,0
71, Private, Sales,31,309974, Bachelors, Separated, Own-child, Black, Female,0,0, United-States,40,13,0
72, Self-emp-not-inc, Sales,29,162298, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,70,13,1
73, Private, Machine-op-inspct,23,211678, Some-college, Never-married, Not-in-family, White, Male,0,0, United-States,40,10,0
74, Private, Prof-specialty,79,124744, Some-college, Married-civ-spouse, Other-relative, White, Male,0,0, United-States,20,10,0
75, Private, Other-service,27,213921, HS-grad, Never-married, Own-child, White, Male,0,0, Mexico,40,9,0
76, Private, Adm-clerical,40,32214, Assoc-acdm, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,12,0
77, ?, ?,67,212759, 10th, Married-civ-spouse, Husband, White, Male,0,0, United-States,2,6,0
78, Private, Other-service,18,309634, 11th, Never-married, Own-child, White, Female,0,0, United-States,22,7,0
79, Local-gov, Farming-fishing,31,125927, 7th-8th, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,4,0
80, Private, Sales,18,446839, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,30,9,0
81, Private, Other-service,52,276515, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, Cuba,40,13,0
82, Private, Other-service,46,51618, HS-grad, Married-civ-spouse, Wife, White, Female,0,0, United-States,40,9,0
83, Private, Sales,59,159937, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,48,9,0
84, Private, Craft-repair,44,343591, HS-grad, Divorced, Not-in-family, White, Female,14344,0, United-States,40,9,1
85, Private, Sales,53,346253, HS-grad, Divorced, Own-child, White, Female,0,0, United-States,35,9,0
86, Local-gov, Protective-serv,49,268234, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,1
87, Private, Prof-specialty,33,202051, Masters, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,14,0
88, Private, Sales,30,54334, 9th, Never-married, Not-in-family, White, Male,0,0, United-States,40,5,0
89, Federal-gov, Prof-specialty,43,410867, Doctorate, Never-married, Not-in-family, White, Female,0,0, United-States,50,16,1
90, Private, Prof-specialty,57,249977, Assoc-voc, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,11,0
91, Private, Craft-repair,37,286730, Some-college, Divorced, Unmarried, White, Female,0,0, United-States,40,10,0
92, Private, Machine-op-inspct,28,212563, Some-college, Divorced, Unmarried, Black, Female,0,0, United-States,25,10,0
93, Private, Sales,30,117747, HS-grad, Married-civ-spouse, Wife, Asian-Pac-Islander, Female,0,1573, ?,35,9,0
94, Local-gov, Protective-serv,34,226296, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,1
95, Local-gov, Handlers-cleaners,29,115585, Some-college, Never-married, Not-in-family, White, Male,0,0, United-States,50,10,0
96, Self-emp-not-inc, Prof-specialty,48,191277, Doctorate, Married-civ-spouse, Husband, White, Male,0,1902, United-States,60,16,1
97, Private, Sales,37,202683, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,48,10,1
98, Private, Exec-managerial,48,171095, Assoc-acdm, Divorced, Unmarried, White, Female,0,0, England,40,12,0
99, Federal-gov, Other-service,32,249409, HS-grad, Never-married, Own-child, Black, Male,0,0, United-States,40,9,0
100, Private, Exec-managerial,76,124191, Masters, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,14,1
101, Private, Exec-managerial,44,198282, Bachelors, Married-civ-spouse, Husband, White, Male,15024,0, United-States,60,13,1
102, Self-emp-not-inc, Prof-specialty,47,149116, Masters, Never-married, Not-in-family, White, Female,0,0, United-States,50,14,0
103, Private, Tech-support,20,188300, Some-college, Never-married, Own-child, White, Female,0,0, United-States,40,10,0
104, Private, Craft-repair,29,103432, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,40,9,0
105, Self-emp-inc, Craft-repair,32,317660, HS-grad, Married-civ-spouse, Husband, White, Male,7688,0, United-States,40,9,1
106, ?, ?,17,304873, 10th, Never-married, Own-child, White, Female,34095,0, United-States,32,6,0
107, Private, Handlers-cleaners,30,194901, 11th, Never-married, Own-child, White, Male,0,0, United-States,40,7,0
108, Local-gov, Adm-clerical,31,189265, HS-grad, Never-married, Not-in-family, White, Female,0,0, United-States,40,9,0
109, Private, Handlers-cleaners,42,124692, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
110, Private, Sales,24,432376, Bachelors, Never-married, Other-relative, White, Male,0,0, United-States,40,13,0
111, Private, Prof-specialty,38,65324, Prof-school, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,15,1
112, Self-emp-not-inc, Other-service,56,335605, HS-grad, Married-civ-spouse, Husband, White, Male,0,1887, Canada,50,9,1
113, Private, Sales,28,377869, Some-college, Married-civ-spouse, Wife, White, Female,4064,0, United-States,25,10,0
114, Private, Machine-op-inspct,36,102864, HS-grad, Never-married, Own-child, White, Female,0,0, United-States,40,9,0
115, Private, Handlers-cleaners,53,95647, 9th, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,5,0
116, Self-emp-inc, Sales,56,303090, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,10,0
117, Local-gov, Craft-repair,49,197371, Assoc-voc, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,11,1
118, Private, Sales,55,247552, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,56,10,0
119, Private, Craft-repair,22,102632, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,41,9,0
120, Private, Other-service,21,199915, Some-college, Never-married, Own-child, White, Female,0,0, United-States,40,10,0
121, Private, Exec-managerial,40,118853, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,60,13,0
122, Private, Exec-managerial,30,77143, Bachelors, Never-married, Own-child, Black, Male,0,0, Germany,40,13,0
123, State-gov, Prof-specialty,29,267989, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,13,1
124, Private, Other-service,19,301606, Some-college, Never-married, Own-child, Black, Male,0,0, United-States,35,10,0
125, Private, Exec-managerial,47,287828, Bachelors, Married-civ-spouse, Wife, White, Female,0,0, United-States,40,13,1
126, Private, Adm-clerical,20,111697, Some-college, Never-married, Own-child, White, Female,0,1719, United-States,28,10,0
127, Private, Adm-clerical,31,114937, Assoc-acdm, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,12,1
128, ?, ?,35,129305, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
129, Private, Craft-repair,39,365739, Some-college, Divorced, Not-in-family, White, Male,0,0, United-States,40,10,0
130, Private, Sales,28,69621, Assoc-acdm, Never-married, Not-in-family, White, Female,0,0, United-States,60,12,0
131, Private, Other-service,24,43323, HS-grad, Never-married, Not-in-family, White, Female,0,1762, United-States,40,9,0
132, Self-emp-not-inc, Craft-repair,38,120985, HS-grad, Married-civ-spouse, Husband, White, Male,4386,0, United-States,35,9,0
133, Private, Sales,37,254202, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,13,0
134, Private, Tech-support,46,146195, Assoc-acdm, Divorced, Not-in-family, Black, Female,0,0, United-States,36,12,0
135, Federal-gov, Prof-specialty,38,125933, Masters, Married-civ-spouse, Husband, White, Male,0,0, Iran,40,14,1
136, Self-emp-not-inc, Craft-repair,43,56920, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,60,9,0
137, Private, Adm-clerical,27,163127, Assoc-voc, Married-civ-spouse, Wife, White, Female,0,0, United-States,35,11,0
138, Private, Sales,20,34310, Some-college, Never-married, Own-child, White, Male,0,0, United-States,20,10,0
139, Private, Craft-repair,49,81973, Some-college, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0,0, United-States,40,10,1
140, Self-emp-inc, Craft-repair,61,66614, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
141, Private, Sales,27,232782, Some-college, Never-married, Own-child, White, Female,0,0, United-States,40,10,0
142, Private, Other-service,19,316868, Some-college, Never-married, Own-child, White, Male,0,0, Mexico,30,10,0
143, Private, Prof-specialty,45,196584, Assoc-voc, Never-married, Not-in-family, White, Female,0,1564, United-States,40,11,1
144, Private, Tech-support,70,105376, Some-college, Never-married, Other-relative, White, Male,0,0, United-States,40,10,0
145, Private, Transport-moving,31,185814, HS-grad, Never-married, Unmarried, Black, Female,0,0, United-States,30,9,0
146, Private, Other-service,22,175374, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,24,10,0
147, Private, Other-service,36,108293, HS-grad, Widowed, Unmarried, White, Female,0,0, United-States,24,9,0
148, Private, Craft-repair,64,181232, 11th, Married-civ-spouse, Husband, White, Male,0,2179, United-States,40,7,0
149, ?, ?,43,174662, Some-college, Divorced, Not-in-family, White, Female,0,0, United-States,40,10,0
150, Local-gov, Adm-clerical,47,186009, Some-college, Divorced, Unmarried, White, Female,0,0, Mexico,38,10,0
151, Private, Adm-clerical,34,198183, HS-grad, Never-married, Not-in-family, White, Female,0,0, United-States,40,9,0
152, Private, Exec-managerial,33,163003, Bachelors, Never-married, Other-relative, Asian-Pac-Islander, Female,0,0, Philippines,40,13,0
153, Private, Craft-repair,21,296158, HS-grad, Never-married, Own-child, White, Male,0,0, United-States,35,9,0
154, ?, ?,52,252903, HS-grad, Divorced, Not-in-family, White, Male,0,0, United-States,45,9,1
155, Private, Craft-repair,48,187715, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,46,9,0
156, Private, Handlers-cleaners,23,214542, Bachelors, Never-married, Not-in-family, White, Male,0,0, United-States,40,13,0
157, Self-emp-not-inc, Sales,71,494223, Some-college, Separated, Unmarried, Black, Male,0,1816, United-States,2,10,0
158, Private, Craft-repair,29,191535, HS-grad, Divorced, Not-in-family, White, Male,0,0, United-States,60,9,0
159, Private, Other-service,42,228456, Bachelors, Separated, Other-relative, Black, Male,0,0, United-States,50,13,0
160, ?, ?,68,38317, 1st-4th, Divorced, Not-in-family, White, Female,0,0, United-States,20,2,0
161, Private, Other-service,25,252752, HS-grad, Never-married, Unmarried, White, Female,0,0, United-States,40,9,0
162, Self-emp-inc, Exec-managerial,44,78374, Masters, Divorced, Unmarried, Asian-Pac-Islander, Female,0,0, United-States,40,14,0
163, Private, Exec-managerial,28,88419, HS-grad, Never-married, Not-in-family, Asian-Pac-Islander, Female,0,0, England,40,9,0
164, Self-emp-not-inc, Sales,45,201080, Masters, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,14,1
165, Private, Other-service,36,207157, Some-college, Divorced, Unmarried, White, Female,0,0, Mexico,40,10,0
166, Federal-gov, Exec-managerial,39,235485, Assoc-acdm, Never-married, Not-in-family, White, Male,0,0, United-States,42,12,0
167, State-gov, Protective-serv,46,102628, Masters, Widowed, Unmarried, White, Male,0,0, United-States,40,14,0
168, Private, Handlers-cleaners,18,25828, 11th, Never-married, Own-child, White, Male,0,0, United-States,16,7,0
169, Local-gov, Prof-specialty,66,54826, Assoc-voc, Widowed, Not-in-family, White, Female,0,0, United-States,20,11,0
170, Private, Other-service,27,124953, HS-grad, Never-married, Not-in-family, White, Male,0,1980, United-States,40,9,0
171, State-gov, Protective-serv,28,175325, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
172, Private, Sales,51,96062, Some-college, Married-civ-spouse, Husband, White, Male,0,1977, United-States,40,10,1
173, Private, Craft-repair,27,428030, Bachelors, Never-married, Not-in-family, White, Male,0,0, United-States,50,13,0
174, State-gov, Prof-specialty,28,149624, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,1
175, Private, Sales,27,253814, HS-grad, Married-spouse-absent, Unmarried, White, Female,0,0, United-States,25,9,0
176, Private, Craft-repair,21,312956, HS-grad, Never-married, Own-child, Black, Male,0,0, United-States,40,9,0
177, Private, Handlers-cleaners,34,483777, HS-grad, Never-married, Not-in-family, Black, Male,0,0, United-States,40,9,0
178, Private, Other-service,18,183930, HS-grad, Never-married, Own-child, White, Male,0,0, United-States,12,9,0
179, Private, Prof-specialty,33,37274, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,65,13,0
180, Local-gov, Exec-managerial,44,181344, Some-college, Married-civ-spouse, Husband, Black, Male,0,0, United-States,38,10,1
181, Private, Adm-clerical,43,114580, Some-college, Divorced, Not-in-family, White, Female,0,0, United-States,40,10,0
182, Private, Craft-repair,30,633742, Some-college, Never-married, Not-in-family, Black, Male,0,0, United-States,45,10,0
183, Private, Machine-op-inspct,40,286370, 7th-8th, Married-civ-spouse, Husband, White, Male,0,0, Mexico,40,4,1
184, Federal-gov, Adm-clerical,37,29054, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,42,10,1
185, Private, Adm-clerical,34,304030, HS-grad, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,9,0
186, Self-emp-not-inc, Exec-managerial,41,143129, Bachelors, Divorced, Not-in-family, White, Female,0,0, United-States,40,13,0
187, ?, ?,53,135105, Bachelors, Divorced, Not-in-family, White, Female,0,0, United-States,50,13,0
188, Private, Prof-specialty,31,99928, Masters, Married-civ-spouse, Wife, White, Female,0,0, United-States,50,14,0
189, State-gov, Prof-specialty,58,109567, Doctorate, Married-civ-spouse, Husband, White, Male,0,0, United-States,1,16,1
190, Private, Machine-op-inspct,38,155222, Some-college, Divorced, Not-in-family, Black, Female,0,0, United-States,28,10,0
191, Private, Machine-op-inspct,24,159567, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,10,0
192, Local-gov, Craft-repair,41,523910, Bachelors, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,13,0
193, Private, Tech-support,47,120939, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,45,10,0
194, Federal-gov, Tech-support,41,130760, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,24,13,0
195, Private, Transport-moving,23,197387, 5th-6th, Married-civ-spouse, Other-relative, White, Male,0,0, Mexico,40,3,0
196, Private, Craft-repair,36,99374, Some-college, Divorced, Not-in-family, White, Male,0,0, United-States,40,10,0
197, Federal-gov, Exec-managerial,40,56795, Masters, Never-married, Not-in-family, White, Female,14084,0, United-States,55,14,1
198, Private, Prof-specialty,35,138992, Masters, Married-civ-spouse, Other-relative, White, Male,7298,0, United-States,40,14,1
199, Self-emp-not-inc, Sales,24,32921, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,40,9,0
200, Private, Prof-specialty,26,397317, Masters, Never-married, Not-in-family, White, Female,0,1876, United-States,40,14,0
201, ?, ?,19,170653, HS-grad, Never-married, Own-child, White, Male,0,0, Italy,40,9,0
202, Private, Exec-managerial,51,259323, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,13,1
203, Local-gov, Prof-specialty,42,254817, Some-college, Never-married, Not-in-family, White, Female,0,1340, United-States,40,10,0
204, State-gov, Adm-clerical,37,48211, HS-grad, Divorced, Unmarried, White, Female,0,0, United-States,35,9,0
205, Private, Sales,18,140164, 11th, Never-married, Own-child, White, Female,0,0, United-States,40,7,0
206, Private, Other-service,36,128757, Bachelors, Married-civ-spouse, Husband, Black, Male,7298,0, United-States,36,13,1
207, Private, Craft-repair,35,36270, HS-grad, Divorced, Not-in-family, White, Male,0,0, United-States,60,9,0
208, Self-emp-inc, Sales,58,210563, HS-grad, Married-civ-spouse, Wife, White, Female,15024,0, United-States,35,9,1
209, Private, Sales,17,65368, 11th, Never-married, Own-child, White, Female,0,0, United-States,12,7,0
210, Local-gov, Transport-moving,44,160943, HS-grad, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,9,0
211, Private, Craft-repair,37,208358, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,1
212, Private, Sales,35,153790, Some-college, Never-married, Not-in-family, Amer-Indian-Eskimo, Female,0,0, United-States,40,10,0
213, Private, Craft-repair,60,85815, HS-grad, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0,0, United-States,40,9,0
214, Self-emp-inc, Machine-op-inspct,54,125417, 7th-8th, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,4,1
215, Private, Exec-managerial,37,635913, Bachelors, Never-married, Not-in-family, Black, Male,0,0, United-States,60,13,1
216, Private, Sales,50,313321, Assoc-acdm, Divorced, Not-in-family, White, Female,0,0, United-States,40,12,0
217, Private, Sales,38,182609, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, Poland,50,13,0
218, Private, Prof-specialty,45,109434, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,55,13,0
219, Private, Craft-repair,25,255004, 10th, Never-married, Not-in-family, White, Male,0,0, United-States,40,6,0
220, Private, Handlers-cleaners,31,197860, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,10,0
221, ?, ?,64,187656, 1st-4th, Divorced, Not-in-family, White, Male,0,0, United-States,40,2,0
222, Private, Other-service,90,51744, HS-grad, Never-married, Not-in-family, Black, Male,0,2206, United-States,40,9,0
223, Private, Adm-clerical,54,176681, HS-grad, Married-civ-spouse, Husband, Black, Male,0,0, United-States,20,9,0
224, Local-gov, Machine-op-inspct,53,140359, Preschool, Never-married, Not-in-family, White, Female,0,0, United-States,35,1,0
225, Private, Sales,18,243313, HS-grad, Never-married, Own-child, White, Female,0,0, United-States,40,9,0
226, ?, ?,60,24215, 10th, Divorced, Not-in-family, Amer-Indian-Eskimo, Female,0,0, United-States,10,6,0
227, Self-emp-not-inc, Farming-fishing,66,167687, HS-grad, Married-civ-spouse, Husband, White, Male,1409,0, United-States,50,9,0
228, Private, Adm-clerical,75,314209, Assoc-voc, Widowed, Not-in-family, White, Female,0,0, Columbia,20,11,0
229, Private, Adm-clerical,65,176796, HS-grad, Divorced, Not-in-family, White, Female,0,0, United-States,40,9,0
230, Private, Transport-moving,35,538583, 11th, Separated, Not-in-family, Black, Male,3674,0, United-States,40,7,0
231, Private, Sales,41,130408, HS-grad, Divorced, Unmarried, Black, Female,0,0, United-States,38,9,0
232, Private, Adm-clerical,25,159732, Some-college, Never-married, Not-in-family, White, Male,0,0, United-States,42,10,0
233, Private, Craft-repair,33,110978, Some-college, Divorced, Other-relative, Other, Female,0,0, United-States,40,10,0
234, Private, Prof-specialty,28,76714, Prof-school, Never-married, Not-in-family, White, Male,0,0, United-States,55,15,1
235, State-gov, Other-service,59,268700, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
236, State-gov, Adm-clerical,40,170525, Some-college, Never-married, Not-in-family, White, Female,0,0, United-States,38,10,0
237, Private, Exec-managerial,41,180138, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, Iran,50,13,1
238, Local-gov, Exec-managerial,38,115076, Masters, Married-civ-spouse, Husband, White, Male,0,0, United-States,70,14,1
239, Private, Transport-moving,23,115458, HS-grad, Never-married, Own-child, White, Male,0,0, United-States,40,9,0
240, Private, Prof-specialty,40,347890, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,1
241, Self-emp-not-inc, Other-service,41,196001, HS-grad, Married-civ-spouse, Wife, White, Female,0,0, United-States,20,9,0
242, State-gov, Protective-serv,24,273905, Assoc-acdm, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,12,0
243, ?, ?,20,119156, Some-college, Never-married, Own-child, White, Male,0,0, United-States,20,10,0
244, Private, Craft-repair,38,179488, Some-college, Divorced, Not-in-family, White, Male,0,1741, United-States,40,10,0
245, Private, Adm-clerical,56,203580, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, ?,35,9,0
246, Private, Adm-clerical,58,236596, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,45,9,1
